feature,importance
total_visits,0.6197631950167242
number_inpatient,0.14313758043598898
num_lab_procedures,0.04245246830414946
num_medications,0.03569348285511022
time_in_hospital,0.03065767885555556
number_diagnoses,0.02119351208740349
number_emergency,0.01858391239492918
num_procedures,0.01655571907433745
number_outpatient,0.01282226211794586
age_[50-60),0.0063282216956297745
age_[80-90),0.005400786655340049
insulin_No,0.00500382676996983
age_[70-80),0.004801144887040728
insulin_Down,0.00404363248358523
insulin_Steady,0.0040291436136715405
age_[40-50),0.0036884617679567343
diabetesMed_Yes,0.0036804729847676808
diabetesMed_No,0.0035462828046580607
age_[60-70),0.003442043427609101
change_Ch,0.0033063663313298713
change_No,0.00294706703040592
insulin_Up,0.0027586343762303037
age_[30-40),0.0020055714596085594
age_[20-30),0.0016924012021783887
age_[90-100),0.0014919517459896488
age_[10-20),0.0008584856196933246
age_[0-10),0.00011569400219095299
